;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_fit__batch_size;param_model__layer_size;param_model__n_hidden_layers;param_optimizer__learning_rate;mean_test_accuracy;mean_train_accuracy;mean_test_ce;mean_train_ce;mean_test_recall;mean_train_recall
54;67.7877847;15.07127532;0.653849423;0.01635743;64;800;3;0.0005;0.970337852;0.988121121;0.478097431;0.191465002;0.886632063;0.944007847
40;57.19296211;14.14623099;0.808507919;0.116300158;128;800;7;0.0001;0.970337789;0.988514185;0.478098449;0.185129568;0.892870574;0.94907985
8;66.25976646;15.24683045;0.700508535;0.025612663;64;400;5;0.0001;0.968713243;0.98769313;0.504283032;0.198363406;0.886306321;0.943795471
44;76.91842049;23.78193138;0.705668449;0.004903974;128;1600;5;0.0001;0.968503542;0.985946257;0.507663017;0.226519679;0.891270062;0.946197504
55;67.95971197;11.02836338;0.672786176;0.015839601;64;800;5;0.0005;0.96845128;0.986365462;0.508505391;0.219762891;0.865326283;0.930238329
20;98.73356795;19.70112297;0.701384425;0.004626198;64;1600;5;0.0001;0.968425005;0.986802207;0.508928879;0.212723389;0.878784427;0.932745456
71;90.60838985;30.2688687;0.725798011;0.003520411;128;1600;7;0.0005;0.968398709;0.985771593;0.509352722;0.22933492;0.861005413;0.923779456
16;78.91110295;15.98850113;0.745564878;0.008612833;64;800;7;0.0001;0.968058173;0.986592598;0.514841518;0.216101879;0.866450948;0.935148685
67;45.57006335;13.13574561;0.670954585;0.010011521;128;800;5;0.0005;0.967822384;0.985657978;0.518641982;0.231166176;0.866776279;0.926018554
69;51.19979334;10.27393897;0.65739125;0.007023497;128;1600;3;0.0005;0.967586544;0.985317341;0.522443287;0.2366566;0.871732638;0.926074719
46;77.26436388;30.64732131;0.732905924;0.013907169;128;1600;7;0.0001;0.967586299;0.984802114;0.522447227;0.244961085;0.875254688;0.932053678
53;62.93331075;15.56203591;0.789303303;0.140034657;64;400;7;0.0005;0.967560162;0.985029174;0.522868502;0.241301312;0.861642234;0.925969181
24;32.14491773;4.665295022;0.643741786;0.010898461;128;200;3;0.0001;0.967298248;0.985378515;0.527090064;0.235670595;0.869172741;0.931624698
78;51.25351626;12.54033514;0.632669866;0.010418736;64;800;3;0.001;0.967167333;0.983465603;0.529200159;0.266503091;0.863570334;0.918227995
57;81.81010187;21.14493062;0.659489632;0.012744027;64;1600;3;0.0005;0.967167193;0.985378536;0.529202416;0.23567026;0.875100276;0.930931212
94;58.63658416;12.37268566;0.736400068;0.138689459;128;1600;5;0.001;0.967088621;0.985055323;0.530468854;0.240879825;0.859244439;0.921857656
