,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__learning_rate,param_optimizer,param_model__n_hidden_layers,param_model__layer_size,param_model__dropout_rate,param_fit__batch_size,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_ce,split1_test_ce,split2_test_ce,split3_test_ce,mean_test_ce,std_test_ce,rank_test_ce
18,57.33788180351257,0.3621848358662441,0.7586640119552612,0.02063696565667014,1e-05,sgd,4,800,0.1,32,0.8385199240986717,0.8363377609108159,0.8342504743833017,0.8383301707779887,0.8368595825426944,0.0017319863627636475,10,0.005449591280653951,0.009536784741144414,0.006811989100817439,0.005449591280653951,0.006811989100817439,0.0016685897430403123,9,2.6027513929657013,2.6379237077367925,2.671566791430394,2.605809855119683,2.6295129368131427,0.02791632168895276,1
30,43.50349545478821,2.834658186778479,0.8608890175819397,0.049904307066219435,1e-05,sgd,3,800,0.1,64,0.8528462998102467,0.8531309297912714,0.8524667931688804,0.854079696394687,0.8531309297912714,0.0005962905640406555,5,0.010217983651226158,0.011580381471389645,0.0027247956403269754,0.007493188010899182,0.00800408719346049,0.0033846401420898824,3,2.3718375003404155,2.3672498071095425,2.37795442464783,2.3519574963393337,2.367249807109281,0.009611068287581993,1
63,66.83997809886932,0.36327561808688486,0.7702813744544983,0.009881711155949498,1e-05,sgd,3,400,0.2,32,0.8570208728652752,0.856831119544592,0.857495256166983,0.8564516129032258,0.856949715370019,0.0003757822466260849,10,0.0006811989100817438,0.0006811989100817438,0.0,0.0,0.0003405994550408719,0.0003405994550408719,9,2.3045513329521152,2.3076097951060968,2.2969051775671105,2.313726719414011,2.3056982562598334,0.006056894157671998,1
8,38.67560684680939,0.04044735350757077,0.7411844730377197,0.004924541600703374,1e-05,sgd,3,1600,0.1,64,0.8595825426944972,0.8591081593927894,0.859203036053131,0.8596774193548387,0.859392789373814,0.00024188897123303028,10,0.0,0.0,0.0,0.0,0.0,0.0,8,2.2632620938733092,2.270908249258264,2.269379018181273,2.2617328627963182,2.266320556027291,0.0038987895511847816,1
58,72.39980375766754,0.3112309281260195,0.7768886089324951,0.018523657701953043,1e-05,sgd,5,800,0,32,0.8598671726755218,0.8596774193548387,0.8597722960151802,0.8598671726755218,0.8597960151802656,7.86675709287539e-05,10,0.0,0.0006811989100817438,0.0,0.0,0.00017029972752043596,0.00029496778058053086,5,2.2586744006423363,2.2617328627963684,2.2602036317193277,2.2586744006423367,2.259821323950092,0.0012679714250513963,1
68,51.006296157836914,0.5048471691426185,0.8075753450393677,0.021364015814104364,1e-05,sgd,5,400,0.2,64,0.8606261859582542,0.8603415559772296,0.860246679316888,0.8604364326375712,0.8604127134724857,0.00014032447303366646,9,0.0,0.0,0.0,0.0,0.0,0.0,10,2.246440552026409,2.2510282452573818,2.2525574763343728,2.2494990141803908,2.2498813219496383,0.0022617632645685107,2
6,63.480215549468994,1.1083587459261972,0.770590603351593,0.0014530312612135122,1e-05,sgd,5,800,0.3,32,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8596774193548387,0.8604601518026564,0.0004519107894511044,9,0.0,0.0,0.0,0.0006811989100817438,0.00017029972752043596,0.00029496778058053086,7,2.244911320949418,2.244911320949418,2.244911320949418,2.2617328627963684,2.2491167064111552,0.00728394128514112,2
47,94.47732788324356,2.104842778588684,0.8845902681350708,0.01436268535385633,0.01,adam,5,3200,0,64,0.8596774193548387,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8604601518026566,0.00045191078945110445,10,0.0,0.0,0.0,0.0,0.0,0.0,8,2.2617328627963182,2.244911320949418,2.244911320949418,2.244911320949418,2.2491167064111433,0.00728394128511939,1
0,46.43191772699356,9.265939966783257,0.785432755947113,0.033957732786142836,0.1,adam,3,400,0,64,0.8607210626185958,0.8607210626185958,0.8604364326375712,0.8606261859582542,0.8606261859582542,0.00011619970316806741,8,0.0,0.0,0.0,0.0,0.0,0.0,8,2.244911320949418,2.244911320949418,2.2494990141803908,2.2464405520264092,2.2464405520264092,0.00187291791871735,3
52,45.84863567352295,0.2356298905063412,0.7393674254417419,0.013301675629439071,0.01,adam,3,1600,0.3,64,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8603415559772296,0.8606261859582542,0.00016433119616402487,9,0.0,0.0,0.0,0.0,0.0,0.0,6,2.244911320949418,2.244911320949418,2.244911320949418,2.2510282452573818,2.246440552026409,0.0026487059218616663,2
