,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__learning_rate,param_optimizer,param_model__n_hidden_layers,param_model__layer_size,param_model__dropout_rate,param_fit__batch_size,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_ce,split1_test_ce,split2_test_ce,split3_test_ce,mean_test_ce,std_test_ce,rank_test_ce
5,227.28654050827026,24.77633803307234,0.7703045010566711,0.009965146869275073,0.01,sgd,4,200,0.5,16,"{'optimizer__learning_rate': 0.01, 'optimizer': 'sgd', 'model__n_hidden_layers': 4, 'model__layer_size': 200, 'model__dropout_rate': 0.5, 'fit__batch_size': 16}",0.7546378786290745,0.6261398176291794,0.6567445760402474,0.6410901467505241,0.6696531047622563,0.05024512571002965,15,0.9250480461242793,0.9051889814221653,0.9372599231754162,0.9481101857783472,0.928901784125052,0.01593713816110161,1,3.9547702169651076,6.025914242340214,5.532623821943274,5.784943409039932,5.324562922572132,0.8098557371905967,1
35,69.90765315294266,27.123400123670844,0.8412282466888428,0.0318029891252673,0.0001,adam,6,800,0.5,128,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'adam', 'model__n_hidden_layers': 6, 'model__layer_size': 800, 'model__dropout_rate': 0.5, 'fit__batch_size': 128}",0.7277014987946756,0.764490095377843,0.8841840477937323,0.8076519916142557,0.7960069083951267,0.05824464430132908,10,0.9320948110185778,0.9218449711723254,0.3085787451984635,0.9455477258167841,0.7770165633015378,0.2705832925409864,6,4.388933360947641,3.7959712460142434,1.8667326839872291,3.1002836782945167,3.2879802423109075,0.9387927422312192,1
39,78.4790489077568,6.6978180735986355,1.2420962452888489,0.7888846210443698,0.01,sgd,5,200,0.5,64,"{'optimizer__learning_rate': 0.01, 'optimizer': 'sgd', 'model__n_hidden_layers': 5, 'model__layer_size': 200, 'model__dropout_rate': 0.5, 'fit__batch_size': 64}",0.8654229116444817,0.8363903154805576,0.8705586416518185,0.6793501048218029,0.8129304933996653,0.07821531325265008,9,0.7085201793721974,0.0,0.8681177976952625,0.9064702114029468,0.6207770471176017,0.3660126468107319,8,2.1691264691297434,2.6370766281465237,2.0863482821585992,5.168265749047675,3.0152042821206355,1.2606818926048422,2
23,27.339182436466217,0.36950853653758325,0.7168858647346497,0.014963152193938449,0.0001,sgd,5,200,0.1,128,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'sgd', 'model__n_hidden_layers': 5, 'model__layer_size': 200, 'model__dropout_rate': 0.1, 'fit__batch_size': 128}",0.8171051252489256,0.8149040981029242,0.811969395241589,0.8144654088050315,0.8146110068496176,0.0018238585300668706,15,0.024983984625240232,0.02370275464445868,0.02240717029449424,0.02242152466367713,0.023378858556967568,0.0010655989669209026,10,2.9479171670306776,2.9833935328812298,3.0306953540152826,2.9904643689019608,2.988117605707288,0.029397126059908546,1
31,27.53858256340027,0.46065208461472407,0.7585127949714661,0.010455438913663644,1e-05,sgd,4,400,0.1,128,"{'optimizer__learning_rate': 1e-05, 'optimizer': 'sgd', 'model__n_hidden_layers': 4, 'model__layer_size': 400, 'model__dropout_rate': 0.1, 'fit__batch_size': 128}",0.8265380987317891,0.8303112881249345,0.827271774447123,0.8273584905660377,0.8278699129674711,0.0014451093712983135,5,0.007046764894298526,0.0025624599615631004,0.0076824583866837385,0.0064061499039077515,0.00592445828661328,0.0019928118341500335,2,2.7958755990977187,2.735058971924767,2.7840501438141643,2.7826524451235772,2.7744092899900568,0.02329241092908944,1
4,201.3050752878189,6.49416144209407,0.8081792593002319,0.004523264346678801,1e-05,adam,6,400,0.5,16,"{'optimizer__learning_rate': 1e-05, 'optimizer': 'adam', 'model__n_hidden_layers': 6, 'model__layer_size': 400, 'model__dropout_rate': 0.5, 'fit__batch_size': 16}",0.8125982601404464,0.7101980924431401,0.8986479404674562,0.9022012578616352,0.8309113877281695,0.07838615384948973,14,0.8353619474695708,0.885970531710442,0.6370038412291933,0.5451633568225497,0.725874919307939,0.13979695256065824,10,3.0205592495565847,4.671054936994182,1.6336022798540284,1.5763295705620062,2.7253865092417002,1.2634355176705097,2
26,109.10127156972885,0.43223868572549573,0.7498311996459961,0.014505592519072798,1e-05,sgd,6,800,0.2,16,"{'optimizer__learning_rate': 1e-05, 'optimizer': 'sgd', 'model__n_hidden_layers': 6, 'model__layer_size': 800, 'model__dropout_rate': 0.2, 'fit__batch_size': 16}",0.8362855046640814,0.8362855046640814,0.8359710722146525,0.8360587002096436,0.8361501954381148,0.00013881073380674343,14,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6387659789013176,2.638765978901317,2.643834031165643,2.642421634769438,2.640946905934429,0.0022373646710490483,2
32,102.60363781452179,30.381748136575332,0.8710213899612427,0.1966162950355995,0.1,adam,4,1600,0,64,"{'optimizer__learning_rate': 0.1, 'optimizer': 'adam', 'model__n_hidden_layers': 4, 'model__layer_size': 1600, 'model__dropout_rate': 0, 'fit__batch_size': 64}",0.8363903154805576,0.8363903154805576,0.8361806938476051,0.8362683438155136,0.8363074171560585,8.850111193686952e-05,4,0.0,0.0,0.0,0.0,0.0,0.0,3,2.6370766281465237,2.6370766281465237,2.6404553296560556,2.639042579098267,2.6384127912618425,0.0014264693785900051,2
44,46.42482590675354,0.1936860746066937,0.7874422669410706,0.0089970829280391,1e-05,sgd,6,1600,0.1,128,"{'optimizer__learning_rate': 1e-05, 'optimizer': 'sgd', 'model__n_hidden_layers': 6, 'model__layer_size': 1600, 'model__dropout_rate': 0.1, 'fit__batch_size': 128}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8362683438155136,0.8363336198601776,5.701934067250589e-05,8,0.0,0.0,0.0,0.0,0.0,0.0,9,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.639042579098267,2.6379904535731438,0.0009190431812274945,3
6,113.2482505440712,0.1410305964966697,0.9115642309188843,0.005483861279420494,0.0001,sgd,6,3200,0.2,32,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'sgd', 'model__n_hidden_layers': 6, 'model__layer_size': 3200, 'model__dropout_rate': 0.2, 'fit__batch_size': 32}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,9,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
