epoch,ACCURACY0.3,ACCURACY0.4,ACCURACY0.5,FN0.3,FN0.4,FN0.5,FP0.3,FP0.4,FP0.5,RECALL0.3,RECALL0.4,RECALL0.5,loss,val_ACCURACY0.3,val_ACCURACY0.4,val_ACCURACY0.5,val_FN0.3,val_FN0.4,val_FN0.5,val_FP0.3,val_FP0.4,val_FP0.5,val_RECALL0.3,val_RECALL0.4,val_RECALL0.5,val_loss
0,0.8993991017341614,0.9293801188468933,0.936812162399292,1655.0,1924.0,1981.0,1526.0,309.0,17.0,0.16540594398975372,0.02975289896130562,0.0010085728717967868,0.2990298271179199,0.6728652715682983,0.631214439868927,0.6310246586799622,2349.0,3768.0,3889.0,1099.0,119.0,0.0,0.39598867297172546,0.0311133973300457,0.0,0.6241699457168579
1,0.9151170253753662,0.933364987373352,0.9370967745780945,1483.0,1823.0,1973.0,1201.0,284.0,16.0,0.2521432042121887,0.08068583160638809,0.005042864475399256,0.21187354624271393,0.7123339772224426,0.6555028557777405,0.6310246586799622,2206.0,3586.0,3889.0,826.0,45.0,0.0,0.4327590763568878,0.07791206240653992,0.0,0.6228957772254944
2,0.9267868399620056,0.9341872334480286,0.9369702935218811,1244.0,1687.0,1960.0,1071.0,394.0,33.0,0.37266767024993896,0.14926879107952118,0.011598587967455387,0.18219923973083496,0.7497153878211975,0.7000948786735535,0.6310246586799622,2452.0,3142.0,3889.0,186.0,19.0,0.0,0.3695037364959717,0.19208022952079773,0.0,0.748960554599762
3,0.93538898229599,0.9401644468307495,0.9371600151062012,1052.0,1402.0,1840.0,991.0,490.0,147.0,0.4694906771183014,0.29299041628837585,0.07211296260356903,0.17335888743400574,0.7193548679351807,0.6440227627754211,0.6310246586799622,2818.0,3745.0,3889.0,140.0,7.0,0.0,0.2753921449184418,0.0370275117456913,0.0,0.6797816157341003
4,0.9443073868751526,0.9477229714393616,0.9432637691497803,1069.0,1406.0,1700.0,692.0,247.0,94.0,0.46091780066490173,0.2909732758998871,0.1427130550146103,0.161874920129776,0.7927893996238708,0.723814070224762,0.6419354677200317,2046.0,2874.0,3774.0,138.0,37.0,0.0,0.4739007353782654,0.26099255681037903,0.029570583254098892,0.631679892539978
5,0.9450348019599915,0.9487665891647339,0.9437697529792786,1044.0,1391.0,1688.0,694.0,229.0,90.0,0.47352495789527893,0.29853758215904236,0.1487644910812378,0.1644606590270996,0.8127134442329407,0.7838709950447083,0.7002846002578735,1864.0,2245.0,3159.0,110.0,33.0,0.0,0.5206993818283081,0.42273077368736267,0.18770892918109894,0.7123269438743591
6,0.9506325125694275,0.9553130865097046,0.9506008625030518,801.0,1108.0,1434.0,760.0,305.0,128.0,0.5960665941238403,0.44125062227249146,0.2768532633781433,0.13955830037593842,0.8671726584434509,0.9203035831451416,0.8957305550575256,388.0,607.0,1025.0,1012.0,233.0,74.0,0.9002314209938049,0.8439187407493591,0.736436128616333,0.38156193494796753
7,0.9509487748146057,0.9540480971336365,0.9469955563545227,843.0,1160.0,1576.0,708.0,293.0,100.0,0.5748865604400635,0.4150277376174927,0.20524458587169647,0.1436080038547516,0.8981973528862,0.8804554343223572,0.8550284504890442,957.0,1173.0,1506.0,116.0,87.0,22.0,0.7539213299751282,0.6983800530433655,0.6127539277076721,0.48887062072753906
8,0.9514864087104797,0.9577166438102722,0.9552814960479736,676.0,918.0,1232.0,858.0,419.0,182.0,0.6591023802757263,0.5370650291442871,0.37871912121772766,0.13807399570941925,0.9098671674728394,0.9190701842308044,0.8975331783294678,624.0,731.0,1011.0,326.0,122.0,69.0,0.8395474553108215,0.8120339512825012,0.7400360107421875,0.27514228224754333
9,0.9454143047332764,0.9511069059371948,0.950379490852356,782.0,1042.0,1324.0,944.0,504.0,245.0,0.6056479811668396,0.4745335280895233,0.3323247730731964,0.1490650475025177,0.9082542657852173,0.8971536755561829,0.8310246467590332,649.0,967.0,1726.0,318.0,117.0,55.0,0.8331190347671509,0.7513499855995178,0.5561841130256653,0.3993595242500305
10,0.9513282775878906,0.9568310976028442,0.9561669826507568,671.0,896.0,1172.0,868.0,469.0,214.0,0.6616237759590149,0.5481593608856201,0.408976286649704,0.13572649657726288,0.9159392714500427,0.926375687122345,0.9074952602386475,451.0,540.0,875.0,435.0,236.0,100.0,0.8840318918228149,0.8611468076705933,0.7750064134597778,0.31044599413871765
11,0.9552181959152222,0.9608792066574097,0.9589500427246094,631.0,834.0,1123.0,785.0,403.0,175.0,0.6817952394485474,0.5794250965118408,0.43368634581565857,0.12993720173835754,0.8523719310760498,0.8945920467376709,0.9180265665054321,278.0,473.0,718.0,1278.0,638.0,146.0,0.9285163283348083,0.8783748745918274,0.8153766989707947,0.3593845069408417
12,0.9513599276542664,0.9568310976028442,0.9558823704719543,669.0,882.0,1140.0,869.0,483.0,255.0,0.6626323461532593,0.5552193522453308,0.4251134693622589,0.14771141111850739,0.9157495498657227,0.9261859655380249,0.9103415608406067,435.0,630.0,848.0,453.0,148.0,97.0,0.8881460428237915,0.8380046486854553,0.7819491028785706,0.32659563422203064
13,0.9523718953132629,0.9577798843383789,0.9581910371780396,592.0,783.0,1015.0,914.0,552.0,307.0,0.70146244764328,0.6051437258720398,0.4881492555141449,0.12822842597961426,0.9159392714500427,0.9188804626464844,0.8945920467376709,548.0,746.0,1059.0,338.0,109.0,52.0,0.859089732170105,0.8081769347190857,0.727693498134613,0.39150723814964294
14,0.9510436654090881,0.9573054909706116,0.9586021304130554,572.0,733.0,920.0,976.0,617.0,389.0,0.7115481495857239,0.6303580403327942,0.5360564589500427,0.14084486663341522,0.8854838609695435,0.9209677577018738,0.9295066595077515,279.0,342.0,529.0,928.0,491.0,214.0,0.9282591938972473,0.9120596647262573,0.8639752864837646,0.33531635999679565
15,0.9537318348884583,0.9596458077430725,0.961385190486908,568.0,704.0,888.0,895.0,572.0,333.0,0.7135652899742126,0.6449823379516602,0.5521936416625977,0.13751187920570374,0.8989563584327698,0.9138519763946533,0.9127134680747986,398.0,606.0,813.0,667.0,302.0,107.0,0.8976600766181946,0.8441758751869202,0.7909488081932068,0.3592838644981384
16,0.9570841193199158,0.9626502394676208,0.9646109938621521,517.0,652.0,812.0,840.0,529.0,307.0,0.7392839193344116,0.6712052226066589,0.5905194282531738,0.12203239649534225,0.9322580695152283,0.9380455613136292,0.9251422882080078,319.0,494.0,725.0,395.0,159.0,64.0,0.9179737567901611,0.8729750514030457,0.8135767579078674,0.30165618658065796
