epoch,ACCURACY0.3,ACCURACY0.4,ACCURACY0.5,FN0.3,FN0.4,FN0.5,FP0.3,FP0.4,FP0.5,RECALL0.3,RECALL0.4,RECALL0.5,loss,val_ACCURACY0.3,val_ACCURACY0.4,val_ACCURACY0.5,val_FN0.3,val_FN0.4,val_FN0.5,val_FP0.3,val_FP0.4,val_FP0.5,val_RECALL0.3,val_RECALL0.4,val_RECALL0.5,val_loss
0,0.9002166390419006,0.9114317893981934,0.9169520139694214,1971.0,2209.0,2335.0,885.0,326.0,42.0,0.16870518028736115,0.06832560151815414,0.015183466486632824,0.2375459223985672,0.7634419798851013,0.7725605368614197,0.7685776948928833,974.0,1445.0,1991.0,1283.0,725.0,217.0,0.748580276966095,0.6270005106925964,0.4860609173774719,0.5301036834716797
1,0.9450772404670715,0.9490252137184143,0.9487457275390625,770.0,960.0,1156.0,802.0,499.0,311.0,0.67524254322052,0.5951075553894043,0.5124419927597046,0.14006440341472626,0.909233808517456,0.9078713059425354,0.8998008370399475,828.0,875.0,955.0,38.0,4.0,1.0,0.7862673997879028,0.7741352319717407,0.7534847855567932,0.36697855591773987
2,0.9624764323234558,0.9641883969306946,0.9647473692893982,509.0,600.0,707.0,565.0,425.0,302.0,0.7853226661682129,0.7469422221183777,0.7018135786056519,0.09913904964923859,0.9415155649185181,0.9372183084487915,0.9316633343696594,542.0,587.0,644.0,16.0,12.0,8.0,0.8600929379463196,0.8484770059585571,0.8337635397911072,0.22829338908195496
3,0.9691845178604126,0.9698483943939209,0.9705471396446228,401.0,492.0,573.0,481.0,371.0,270.0,0.8308730721473694,0.7924926280975342,0.7583298087120056,0.08260349929332733,0.9267372488975525,0.9222303628921509,0.9159417152404785,696.0,740.0,800.0,3.0,2.0,2.0,0.8203407526016235,0.8089829683303833,0.7934951186180115,0.2985613942146301
4,0.9741806983947754,0.9763119220733643,0.9770805835723877,343.0,389.0,448.0,396.0,289.0,208.0,0.8553352952003479,0.8359342217445374,0.8110501766204834,0.07260309159755707,0.9391049146652222,0.9478042125701904,0.9550361633300781,353.0,363.0,365.0,228.0,135.0,64.0,0.9088796973228455,0.9062983989715576,0.905782163143158,0.16934338212013245
5,0.9787576198577881,0.9802250266075134,0.9799454808235168,284.0,331.0,383.0,324.0,235.0,191.0,0.8802193403244019,0.8603964447975159,0.8384647965431213,0.05860987305641174,0.9540928602218628,0.951786994934082,0.9493764042854309,432.0,458.0,481.0,6.0,2.0,2.0,0.8884873390197754,0.8817759156227112,0.8758389353752136,0.2107563316822052
6,0.9810635447502136,0.9819719195365906,0.9815177321434021,253.0,307.0,361.0,289.0,209.0,168.0,0.8932939767837524,0.8705187439918518,0.847743570804596,0.05354955419898033,0.9540928602218628,0.9532544016838074,0.9526255130767822,436.0,444.0,450.0,2.0,2.0,2.0,0.8874548077583313,0.8853898048400879,0.8838409781455994,0.24797366559505463
7,0.9820417761802673,0.9830200672149658,0.9827055931091309,222.0,279.0,347.0,292.0,207.0,148.0,0.906368613243103,0.8823281526565552,0.8536482453346252,0.04950139671564102,0.962372899055481,0.9616392254829407,0.9610103964805603,350.0,360.0,367.0,9.0,6.0,5.0,0.9096540808677673,0.9070727825164795,0.9052658677101135,0.1463955044746399
8,0.9845573306083679,0.9850115180015564,0.9851862192153931,190.0,239.0,275.0,252.0,190.0,149.0,0.9198650121688843,0.8991986513137817,0.8840152025222778,0.044885195791721344,0.9635258316993713,0.962582528591156,0.9620584845542908,341.0,353.0,359.0,7.0,4.0,3.0,0.9119772911071777,0.9088796973228455,0.9073309302330017,0.19155234098434448
9,0.9865487813949585,0.9871078133583069,0.9872126579284668,165.0,207.0,242.0,220.0,162.0,124.0,0.9304091334342957,0.912695050239563,0.8979333639144897,0.03818454593420029,0.962372899055481,0.9620584845542908,0.9630017876625061,317.0,328.0,336.0,42.0,34.0,17.0,0.9181724190711975,0.9153329730033875,0.9132679104804993,0.15980340540409088
10,0.9862343668937683,0.9869331121444702,0.9869331121444702,184.0,218.0,254.0,210.0,156.0,120.0,0.9223955869674683,0.9080556631088257,0.8928722143173218,0.03855346888303757,0.95975261926651,0.9593334197998047,0.9591237902641296,372.0,379.0,384.0,12.0,9.0,6.0,0.903975248336792,0.9021682739257812,0.9008776545524597,0.22889970242977142
11,0.9870379567146301,0.9881559610366821,0.9882957339286804,161.0,192.0,224.0,210.0,147.0,111.0,0.9320961833000183,0.919021487236023,0.9055250883102417,0.036595650017261505,0.962582528591156,0.960067093372345,0.9588093757629395,354.0,378.0,391.0,3.0,3.0,2.0,0.908621609210968,0.9024264216423035,0.8990707397460938,0.23178218305110931
